year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2022,Chilton County; Alabama,45140,22048,23092,95.5,2709,3349,2834,2754,2885,5622,5610,5749,2987,3036,4514,2424,667,39.9,10705,35294,34435,32790,9230,7605,34435,16810,17625,95.4,7605,3410,4195,81.3,45140,43474,1666,43474,36693,4257,647,17,0,0,0,229,59,01,021,20,0,19,19,112,0,136,0,0,0,136,1512,1666,433,304,0,704,107,62,45140,38175,4859,1085,258,165,2305,45140,3664,3173,144,0,347,41476,35714,4254,17,229,15,318,929,56,873,19546,33389,16272,17117
2022,Choctaw County; Alabama,12669,5980,6689,89.4,686,585,778,922,646,1222,1246,1591,1051,992,1655,842,453,46.7,2526,10532,10143,9480,3429,2950,10143,4717,5426,86.9,2950,1283,1667,77.0,12669,12370,299,12370,7180,5062,28,28,0,0,0,15,15,01,023,0,0,0,0,0,0,0,0,0,0,0,85,299,112,41,45,0,3,0,12669,7402,5253,105,123,35,85,12669,143,7,0,0,136,12526,7162,5055,28,15,0,0,266,0,266,7138,10110,4708,5402
2022,Clarke County; Alabama,23058,11032,12026,91.7,1421,1188,1554,1472,1408,2564,2602,2874,1661,1614,2565,1514,621,42.7,5075,18614,17983,17233,5581,4700,17983,8417,9566,88.0,4700,2046,2654,77.1,23058,22651,407,22651,11862,10490,15,6,0,0,0,90,1,01,025,33,15,0,0,37,4,0,0,0,0,0,194,407,220,64,37,56,22,0,23058,12239,10740,109,135,0,250,23058,335,101,13,0,221,22723,11809,10479,15,90,0,146,184,9,175,11733,17882,8343,9539
2022,Clay County; Alabama,14209,6931,7278,95.2,745,819,823,1014,755,1528,1514,1947,1057,1048,1660,991,308,43.9,2910,11636,11299,10470,3547,2959,11299,5514,5785,95.3,2959,1319,1640,80.4,14209,13540,669,13540,11581,1790,5,0,0,0,0,36,0,01,027,11,25,0,0,0,0,0,0,0,0,0,128,669,187,133,30,177,0,74,14209,12108,2119,138,134,0,379,14209,437,337,0,8,92,13772,11385,1790,0,36,0,12,549,131,418,7040,11277,5514,5763
2022,Cleburne County; Alabama,15144,7565,7579,99.8,901,1054,923,849,787,1948,1630,1985,1006,1087,1739,843,392,42.2,3446,12103,11698,11163,3658,2974,11698,5812,5886,98.7,2974,1335,1639,81.5,15144,14752,392,14752,14028,411,35,20,0,0,0,15,0,01,029,1,0,14,0,0,0,0,0,0,0,0,263,392,173,96,0,115,0,0,15144,14420,592,131,15,8,378,15144,401,298,5,0,98,14743,13964,411,22,15,0,28,303,26,277,6818,11592,5739,5853
2022,Coffee County; Alabama,53559,26626,26933,98.9,3168,3304,3956,3454,3121,6730,6980,7082,2986,3613,5447,2817,901,39.2,12670,42478,40889,39038,11295,9165,40889,20117,20772,96.8,9165,4066,5099,79.7,53559,49853,3706,49853,38834,8997,368,9,0,0,0,563,9,01,031,43,71,44,232,119,45,8,0,0,0,8,1083,3706,922,814,623,855,139,41,53559,42307,10225,1462,1332,115,2054,53559,4500,2050,1070,214,1166,49059,36875,8598,277,563,8,71,2667,96,2571,24155,39749,19759,19990
2022,Colbert County; Alabama,57270,27911,29359,95.1,3158,3126,3714,3265,3172,7082,6793,7388,3893,4226,6636,3763,1054,42.0,11977,46692,45293,43132,14269,11453,45293,21578,23715,91.0,11453,4946,6507,76.0,57270,55723,1547,55723,44698,9185,178,75,0,0,0,214,94,01,033,5,74,33,8,0,0,53,21,32,0,0,1395,1547,331,562,240,234,0,13,57270,46146,9643,770,576,68,1680,57270,1837,1430,91,59,257,55433,44485,9171,170,214,53,78,1262,37,1225,27709,44766,21322,23444
2022,Conecuh County; Alabama,11576,5639,5937,95.0,465,706,778,750,495,1453,1071,1386,705,1053,1525,985,204,46.2,2368,9568,9208,8793,3437,2714,9208,4399,4809,91.5,2714,1243,1471,84.5,11576,11455,121,11455,5751,5611,33,9,0,0,0,36,0,01,035,0,36,0,0,0,0,0,0,0,0,0,24,121,19,39,36,5,0,0,11576,5850,5652,72,94,0,29,11576,80,0,58,0,22,11496,5751,5553,33,36,0,12,111,0,111,6451,9196,4387,4809
2022,Coosa County; Alabama,10329,5306,5023,105.6,464,290,580,571,375,1015,1126,1469,938,978,1479,769,275,50.2,1658,8825,8671,8311,3067,2523,8671,4351,4320,100.7,2523,1189,1334,89.1,10329,10063,266,10063,6859,3120,9,0,0,0,0,0,0,01,037,0,0,0,0,0,0,0,0,0,0,0,75,266,11,95,16,130,4,4,10329,7117,3145,114,16,0,209,10329,284,142,54,0,88,10045,6632,3120,9,0,0,57,227,95,132,6045,8625,4305,4320
2022,Covington County; Alabama,37542,18243,19299,94.5,2147,2072,2552,2381,1943,4199,4116,4578,2607,2782,4491,2518,1156,42.9,8227,30145,29315,27827,9878,8165,29315,13933,15382,90.6,8165,3551,4614,77.0,37542,36638,904,36638,31404,4606,117,63,0,0,0,218,53,01,039,6,18,119,0,1,21,0,0,0,0,0,293,904,376,352,9,97,11,0,37542,32286,5020,508,251,20,391,37542,749,481,75,0,193,36793,30958,4606,101,218,0,85,825,32,793,18644,29041,13831,15210
2022,Crenshaw County; Alabama,13205,6451,6754,95.5,708,856,933,755,805,1556,1453,1653,800,1075,1594,708,309,42.3,3020,10556,10185,9847,3370,2611,10185,4914,5271,93.2,2611,1125,1486,75.7,13205,12757,448,12757,9386,3059,10,0,0,0,0,154,62,01,041,0,43,0,49,0,0,6,6,0,0,0,142,448,243,141,42,22,0,0,13205,9834,3302,151,196,6,164,13205,335,235,9,0,91,12870,9226,3026,10,154,6,0,448,22,426,6553,9982,4759,5223
2022,Cullman County; Alabama,88284,43820,44464,98.6,5173,5498,5487,5607,4999,10819,10537,11507,6156,5919,9708,5472,1402,41.4,19672,70954,68612,65332,20072,16582,68612,33802,34810,97.1,16582,7406,9176,80.7,88284,84157,4127,84157,81077,960,355,88,0,0,0,278,0,01,043,44,121,65,12,29,7,27,0,7,0,20,1460,4127,463,919,271,2245,3,16,88284,85063,1484,1354,698,133,3744,88284,4056,3096,185,93,682,84228,80170,959,243,278,27,84,2467,724,1743,39182,67396,33238,34158
2022,Dale County; Alabama,49455,24461,24994,97.9,3243,3270,3026,2913,3316,6926,5956,5765,3274,3108,5192,2688,778,37.7,11403,39197,38052,36502,10560,8658,38052,18547,19505,95.1,8658,3967,4691,84.6,49455,47513,1942,47513,34817,10416,476,44,1,0,0,611,27,01,045,50,121,46,144,20,203,17,0,13,0,4,1176,1942,561,471,291,274,103,16,49455,36624,11186,1172,972,96,1523,49455,3467,2025,1080,62,300,45988,33286,10087,218,611,12,193,1581,108,1473,22829,37382,18329,19053
2022,Dallas County; Alabama,38326,17895,20431,87.6,2284,2422,2642,2677,2317,4320,4221,4454,2633,2916,4477,2238,725,40.4,9038,30351,29288,27708,8934,7440,29288,13183,16105,81.9,7440,3163,4277,74.0,38326,37565,761,37565,10634,26467,208,1,0,0,0,240,102,01,047,0,0,0,0,122,16,0,0,0,0,0,16,761,370,373,6,0,7,0,38326,11383,26849,588,251,0,16,38326,430,413,17,0,0,37896,10365,26311,208,240,0,11,761,0,761,18992,29033,13077,15956
2022,DeKalb County; Alabama,71680,35847,35833,100.0,4110,4146,5733,4887,4419,8427,8963,9158,4387,5076,7531,3590,1253,39.6,17146,56883,54534,52163,15504,12374,54534,27041,27493,98.4,12374,5618,6756,83.2,71680,68171,3509,68171,59102,1043,1098,163,42,1,0,72,3,01,049,0,54,6,0,0,9,413,4,389,0,20,6443,3509,344,1489,63,1337,0,81,71680,62446,1563,2698,190,422,7972,71680,11021,6261,39,109,4612,60659,56705,1043,354,66,33,394,2064,82,1982,30716,50495,24868,25627
2022,Elmore County; Alabama,87694,42743,44951,95.1,4785,5050,5655,5890,5268,12341,11408,11702,6078,5684,8419,4441,973,38.9,19063,70825,68631,65707,17348,13833,68631,32892,35739,92.0,13833,6186,7647,80.9,87694,84572,3122,84572,64769,18276,248,48,13,0,24,602,65,01,051,21,217,27,63,0,209,0,0,0,0,0,677,3122,1287,496,308,870,35,78,87694,67746,19694,807,937,7,1659,87694,2739,1958,271,52,458,84955,63533,18224,210,602,0,30,2356,214,2142,36787,67543,32413,35130
2022,Escambia County; Alabama,36755,18476,18279,101.1,2119,2209,2582,2555,1829,4772,4551,4494,2361,2453,3877,2203,750,40.5,8335,29357,28420,27036,8120,6830,28420,14290,14130,101.1,6830,2850,3980,71.6,36755,35341,1414,35341,22762,11138,1124,64,0,0,0,90,0,01,053,50,25,0,0,7,8,0,0,0,0,0,227,1414,136,495,2,153,63,0,36755,24089,11872,2225,106,16,393,36755,940,782,75,0,83,35815,22117,11115,1118,90,0,63,1312,79,1233,16715,28396,14269,14127
2022,Etowah County; Alabama,103348,50134,53214,94.2,5943,5914,6380,6069,6327,12195,12441,13972,7009,7016,12145,6114,1823,41.9,22164,83569,81184,77547,24461,20082,81184,38747,42437,91.3,20082,8738,11344,77.0,103348,99762,3586,99762,80555,15724,329,23,0,0,0,748,140,01,055,45,253,32,1,98,179,2,0,0,0,2,2404,3586,992,914,206,1011,56,182,103348,83880,17126,1477,999,14,3694,103348,4561,2144,628,188,1601,98787,79648,15507,127,743,2,395,2365,186,2179,47412,79973,38136,41837
2022,Fayette County; Alabama,16297,7997,8300,96.3,846,888,1048,1106,981,1756,1771,2062,1130,1248,2023,1112,326,43.7,3436,13382,12861,12069,4162,3461,12861,6279,6582,95.4,3461,1532,1929,79.4,16297,15929,368,15929,13727,2074,24,0,0,0,0,36,0,01,057,0,11,0,0,12,13,40,40,0,0,0,28,368,165,91,0,41,39,0,16297,14056,2285,161,61,65,69,16297,61,49,0,0,12,16236,13666,2074,24,36,40,28,368,41,327,7816,12848,6266,6582
2022,Franklin County; Alabama,32011,16071,15940,100.8,2318,1928,2352,2257,1805,4038,3654,4103,2178,1919,3117,1579,763,39.3,7920,24985,24091,22696,6621,5459,24091,11983,12108,99.0,5459,2376,3083,77.1,32011,30606,1405,30606,24853,1360,134,30,0,0,0,35,17,01,059,18,0,0,0,0,0,14,0,14,0,0,4210,1405,114,316,76,871,0,0,32011,26231,1480,464,138,23,5081,32011,5892,3035,91,126,2640,26119,24088,1360,57,35,14,73,492,24,468,13940,22624,11088,11536
2022,Geneva County; Alabama,26647,13037,13610,95.8,1432,1944,1434,1563,1292,3084,3098,3505,1945,1936,3160,1641,613,43.6,5834,21423,20813,20012,6382,5414,20813,10072,10741,93.8,5414,2450,2964,82.7,26647,25688,959,25688,22360,2472,71,38,0,0,0,143,0,01,061,0,5,0,138,0,0,6,0,0,0,6,636,959,247,360,0,201,0,0,26647,23294,2724,464,143,124,865,26647,1185,870,167,3,145,25462,21535,2377,61,143,6,503,837,106,731,12494,20590,9928,10662
2022,Greene County; Alabama,7706,3707,3999,92.7,544,574,317,410,412,976,801,760,539,549,1001,641,182,41.1,1696,6121,6010,5853,2176,1824,6010,2859,3151,90.7,1824,784,1040,75.4,7706,7657,49,7657,1333,6305,7,0,0,0,0,0,0,01,063,0,0,0,0,0,0,0,0,0,0,0,12,49,0,0,44,0,0,0,7706,1382,6310,12,44,0,12,7706,24,18,0,0,6,7682,1321,6305,7,0,0,0,49,0,49,4271,6008,2859,3149
2022,Hale County; Alabama,14742,7020,7722,90.9,968,1390,646,816,942,1890,1507,1572,1055,1053,1772,751,380,40.5,3454,11591,11288,10791,3573,2903,11288,5229,6059,86.3,2903,1288,1615,79.8,14742,14098,644,14098,5663,8373,42,0,0,0,0,9,0,01,065,0,0,0,9,0,0,0,0,0,0,0,11,644,229,5,0,214,0,54,14742,6129,8798,65,133,0,279,14742,25,0,0,0,25,14717,5663,8373,42,9,0,0,630,254,376,7464,11261,5218,6043
2022,Henry County; Alabama,17282,8303,8979,92.5,829,994,1105,928,865,1897,2106,2175,1235,1195,2403,1151,399,44.6,3517,14191,13765,13129,4662,3953,13765,6595,7170,92.0,3953,1719,2234,76.9,17282,16807,475,16807,12194,4375,60,15,0,0,0,96,32,01,067,0,0,0,0,64,0,8,0,8,0,0,74,475,66,88,10,232,0,0,17282,12669,4506,216,108,17,311,17282,469,288,133,24,24,16813,12012,4344,60,96,8,0,293,55,238,9110,13726,6556,7170
2022,Houston County; Alabama,107040,51565,55475,93.0,6580,6286,7279,6680,6222,13560,13371,13374,6923,7315,11454,5963,2033,40.4,24470,85251,82570,78582,23690,19450,82570,38826,43744,88.8,19450,8453,10997,76.9,107040,102728,4312,102728,71260,29166,309,52,3,2,0,987,214,01,069,157,133,31,97,173,182,39,4,0,0,35,967,4312,1066,753,407,1451,80,72,107040,75257,30650,1364,1603,205,2637,107040,3844,2195,523,201,925,103196,69420,29026,248,976,17,457,3052,521,2531,49339,81307,38087,43220
2022,Jackson County; Alabama,52618,25883,26735,96.8,2613,2990,3288,3021,2883,6005,6489,6948,3637,3927,6471,3504,842,43.0,10852,43027,41766,40105,13273,10817,41766,20348,21418,95.0,10817,4816,6001,80.3,52618,50514,2104,50514,47208,1731,397,327,0,0,0,213,0,01,071,7,33,32,52,85,4,17,0,6,0,11,948,2104,337,1178,114,278,46,49,52618,49177,2206,1673,369,27,1322,52618,1685,1004,313,0,368,50933,46699,1708,397,213,17,59,1840,103,1737,24706,41346,20180,21166
2022,Jefferson County; Alabama,672265,319713,352552,90.7,41464,42604,42968,44042,43877,95684,86330,80188,40932,44425,66373,30313,13065,37.9,152346,537683,519919,490463,135910,109751,519919,242155,277764,87.2,109751,45995,63756,72.1,672265,652009,20256,652009,338374,287203,1225,250,0,9,24,11712,4011,01,073,3260,817,303,992,793,1536,167,11,76,13,67,13328,20256,4979,2840,1693,6417,1051,770,672265,355466,295155,6022,14997,894,21589,672265,27950,17620,1722,701,7907,644315,328951,286423,570,11690,160,2913,13608,1981,11627,308428,505126,233868,271258
2022,Lamar County; Alabama,13885,6930,6955,99.6,946,673,902,761,709,1548,1582,1747,932,1010,1717,967,391,44.2,3026,11102,10859,10450,3678,3075,10859,5280,5579,94.6,3075,1403,1672,83.9,13885,13606,279,13606,11913,1527,49,0,0,0,0,23,7,01,075,0,14,0,0,0,2,0,0,0,0,0,94,279,207,61,3,6,0,0,13885,12192,1736,112,26,0,100,13885,76,6,0,0,70,13809,11900,1527,49,23,0,37,273,0,273,7104,10819,5279,5540
2022,Lauderdale County; Alabama,94329,45493,48836,93.2,4677,4909,5433,6519,8227,11175,10475,11311,6516,6110,10916,6048,2013,40.8,18256,77733,76073,70477,22668,18977,76073,36154,39919,90.6,18977,8283,10694,77.5,94329,90561,3768,90561,79592,9317,315,122,0,0,17,576,66,01,077,224,67,51,51,61,56,64,28,17,0,19,697,3768,931,619,474,1542,0,41,94329,83282,10396,1026,1098,112,2367,94329,2803,2168,57,280,298,91526,78667,9197,213,574,64,125,2686,628,2058,44705,74611,35647,38964
2022,Lawrence County; Alabama,33116,16299,16817,96.9,1748,1869,2374,1812,1835,4087,3726,4536,2641,2339,3637,1838,674,42.7,7172,26784,25944,25049,7227,6149,25944,12604,13340,94.5,6149,2745,3404,80.6,33116,31039,2077,31039,25421,3371,1669,1364,0,0,0,97,2,01,079,0,17,9,0,50,19,17,0,17,0,0,464,2077,146,1342,14,231,175,0,33116,27319,3857,3317,111,52,737,33116,829,473,126,2,228,32287,25273,3366,1669,97,17,13,1852,48,1804,15270,25716,12538,13178
2022,Lee County; Alabama,175126,86692,88434,98.0,9618,9141,11488,15832,21963,23917,21449,20326,9758,9474,13861,5912,2387,33.0,36525,143029,138601,122301,27840,22160,138601,67874,70727,96.0,22160,10008,12152,82.4,175126,169445,5681,169445,120255,39363,270,119,0,0,0,7614,1187,01,081,1784,241,93,3382,340,587,49,0,49,0,0,1894,5681,1571,805,459,1721,105,76,175126,125544,41805,1504,8646,254,3915,175126,6780,2899,1035,425,2421,168346,117221,38635,224,7530,49,581,4106,534,3572,75473,133152,64954,68198
